municipio, casos
Alvorada, 2
Bagé, 7
Bento Gonçalves, 2
Campo Bom, 2
Canoas, 5
Capão da Canoa, 1
Carlos Barbosa, 1
Caxias do Sul, 2
Charqueadas, 1
Cruzeiro do Sul, 1
Dois Irmãos, 1
Eldorado do Sul, 1
Erechim, 3
Estância Velha, 1
Estrela, 1
Farroupilha, 1
Ivoti, 2
Lajeado, 3
Osório, 1
Porto Alegre, 41
Rio Grande, 1
Santa Maria, 2
Santana do Livramento, 3
Santiago, 1
Santo Antonio da Patrulha, 1
São Leopoldo, 1
Sapiranga, 1
Serafina Correa, 2
Taquara, 1
Torres, 3
Viamão, 1
